"patient_id","cancer","stroma","difference"
"754",11.194240277948,9.16688896254648,2.0273513154015
"818",8.19941114616659,6.87829920168785,1.32111194447874
"855",9.61240179186207,8.5321838505148,1.08021794134727
"864",10.0343177550177,10.211374844984,-0.177057089966297
"891",12.3825167740172,9.84466273365851,2.5378540403587
"895",11.6668603205909,7.50611426455693,4.16074605603399
"911",9.24712702452511,9.22819363952788,0.0189333849972275
"916",8.14320092104156,4.04283625040154,4.10036467064002
"933",11.4553331749634,3.55683038518534,7.89850278977804
"984",10.3400687812225,5.62641230699313,4.71365647422934
"1039",8.70148736506363,0,8.70148736506363
"1106",7.81035684268897,6.98304746552402,0.827309377164956
"1184",9.63585243465229,9.17875357651725,0.457098858135039
"1283",11.2028820729402,11.16095316077,0.0419289121701549
"1310",11.2526111773242,8.66434951590547,2.58826166141873
"1385",11.8469943537383,9.90022525807684,1.9467690956615
"1418",11.0646308302551,9.72543215895331,1.33919867130179
"1548",11.3373886180124,8.11824201092491,3.21914660708744
"1656",11.0269690848797,10.2776311813911,0.749337903488637
